2 300 0.01
10.4309 10.1825 -10.435 -10.1795 
10.4263 10.2126 -10.4304 -10.2096 
10.4217 10.2426 -10.4258 -10.2396 
10.417 10.2727 -10.4212 -10.2697 
10.4124 10.3027 -10.4166 -10.2997 
10.4077 10.3327 -10.4119 -10.3296 
10.403 10.3626 -10.4072 -10.3596 
10.3983 10.3926 -10.4025 -10.3895 
10.3935 10.4225 -10.3978 -10.4194 
10.3887 10.4524 -10.393 -10.4493 
10.3839 10.4822 -10.3882 -10.4791 
10.3791 10.5121 -10.3834 -10.509 
10.3742 10.5419 -10.3786 -10.5388 
10.3693 10.5717 -10.3737 -10.5686 
10.3644 10.6015 -10.3689 -10.5983 
10.3595 10.6312 -10.364 -10.628 
10.3546 10.6609 -10.359 -10.6578 
10.3496 10.6906 -10.3541 -10.6874 
10.3446 10.7203 -10.3491 -10.7171 
10.3396 10.7499 -10.3441 -10.7467 
10.3345 10.7795 -10.3391 -10.7763 
10.3294 10.8091 -10.334 -10.8059 
10.3243 10.8387 -10.329 -10.8355 
10.3192 10.8683 -10.3239 -10.865 
10.3141 10.8978 -10.3188 -10.8945 
10.3089 10.9273 -10.3136 -10.924 
10.3037 10.9568 -10.3085 -10.9535 
10.2985 10.9862 -10.3033 -10.9829 
10.2933 11.0156 -10.2981 -11.0123 
10.288 11.045 -10.2929 -11.0417 
10.2828 11.0744 -10.2876 -11.0711 
10.2775 11.1038 -10.2823 -11.1004 
10.2721 11.1331 -10.277 -11.1297 
10.2668 11.1624 -10.2717 -11.159 
10.2614 11.1917 -10.2664 -11.1883 
10.256 11.221 -10.261 -11.2176 
10.2506 11.2502 -10.2556 -11.2468 
10.2452 11.2794 -10.2502 -11.276 
10.2397 11.3086 -10.2448 -11.3052 
10.2343 11.3377 -10.2393 -11.3343 
10.2288 11.3669 -10.2339 -11.3634 
10.2232 11.396 -10.2284 -11.3925 
10.2177 11.4251 -10.2229 -11.4216 
10.2121 11.4542 -10.2173 -11.4507 
10.2066 11.4832 -10.2118 -11.4797 
10.201 11.5122 -10.2062 -11.5087 
10.1953 11.5412 -10.2006 -11.5377 
10.1897 11.5702 -10.195 -11.5667 
10.184 11.5991 -10.1893 -11.5956 
10.1783 11.6281 -10.1837 -11.6245 
10.1726 11.657 -10.178 -11.6534 
10.1669 11.6858 -10.1723 -11.6823 
10.1611 11.7147 -10.1666 -11.7111 
10.1554 11.7435 -10.1608 -11.7399 
10.1496 11.7723 -10.1551 -11.7687 
10.1438 11.8011 -10.1493 -11.7975 
10.1379 11.8299 -10.1435 -11.8262 
10.1321 11.8586 -10.1376 -11.855 
10.1262 11.8873 -10.1318 -11.8837 
10.1203 11.916 -10.1259 -11.9123 
10.1144 11.9447 -10.12 -11.941 
10.1085 11.9733 -10.1141 -11.9696 
10.1025 12.0019 -10.1082 -11.9982 
10.0965 12.0305 -10.1023 -12.0268 
10.0905 12.0591 -10.0963 -12.0554 
10.0845 12.0877 -10.0903 -12.0839 
10.0785 12.1162 -10.0843 -12.1124 
10.0724 12.1447 -10.0783 -12.1409 
10.0664 12.1732 -10.0723 -12.1694 
10.0603 12.2016 -10.0662 -12.1978 
10.0542 12.23 -10.0601 -12.2262 
10.0481 12.2585 -10.054 -12.2546 
10.0419 12.2868 -10.0479 -12.283 
10.0357 12.3152 -10.0418 -12.3114 
10.0296 12.3435 -10.0356 -12.3397 
10.0234 12.3719 -10.0294 -12.368 
10.0171 12.4002 -10.0232 -12.3963 
10.0109 12.4284 -10.017 -12.4245 
10.0046 12.4567 -10.0108 -12.4528 
9.99836 12.4849 -10.0045 -12.481 
9.99206 12.5131 -9.99828 -12.5092 
9.98575 12.5413 -9.99199 -12.5373 
9.97941 12.5694 -9.98569 -12.5655 
9.97306 12.5976 -9.97936 -12.5936 
9.96669 12.6257 -9.97302 -12.6217 
9.96031 12.6538 -9.96667 -12.6498 
9.9539 12.6818 -9.96029 -12.6778 
9.94748 12.7099 -9.95389 -12.7059 
9.94104 12.7379 -9.94748 -12.7339 
9.93458 12.7659 -9.94105 -12.7619 
9.9281 12.7939 -9.93461 -12.7898 
9.92161 12.8218 -9.92814 -12.8178 
9.9151 12.8497 -9.92166 -12.8457 
9.90857 12.8777 -9.91516 -12.8736 
9.90202 12.9055 -9.90864 -12.9015 
9.89546 12.9334 -9.90211 -12.9293 
9.88888 12.9612 -9.89555 -12.9571 
9.88228 12.9891 -9.88898 -12.9849 
9.87567 13.0168 -9.8824 -13.0127 
9.86903 13.0446 -9.87579 -13.0405 
9.86238 13.0724 -9.86917 -13.0682 
9.85572 13.1001 -9.86254 -13.0959 
9.84903 13.1278 -9.85588 -13.1236 
9.84233 13.1555 -9.84921 -13.1513 
9.83562 13.1831 -9.84253 -13.1789 
9.82888 13.2108 -9.83582 -13.2066 
9.82213 13.2384 -9.8291 -13.2342 
9.81537 13.266 -9.82236 -13.2618 
9.80858 13.2936 -9.81561 -13.2893 
9.80179 13.3211 -9.80884 -13.3169 
9.79497 13.3486 -9.80205 -13.3444 
9.78814 13.3761 -9.79525 -13.3719 
9.78129 13.4036 -9.78843 -13.3993 
9.77443 13.4311 -9.7816 -13.4268 
9.76755 13.4585 -9.77475 -13.4542 
9.76065 13.4859 -9.76788 -13.4816 
9.75374 13.5133 -9.761 -13.509 
9.74681 13.5407 -9.7541 -13.5364 
9.73986 13.568 -9.74718 -13.5637 
9.7329 13.5954 -9.74025 -13.591 
9.72593 13.6227 -9.73331 -13.6183 
9.71894 13.65 -9.72635 -13.6456 
9.71193 13.6772 -9.71937 -13.6728 
9.70491 13.7045 -9.71238 -13.7001 
9.69787 13.7317 -9.70537 -13.7273 
9.69082 13.7589 -9.69835 -13.7545 
9.68375 13.7861 -9.69131 -13.7816 
9.67667 13.8132 -9.68425 -13.8088 
9.66957 13.8404 -9.67718 -13.8359 
9.66245 13.8675 -9.6701 -13.863 
9.65532 13.8946 -9.663 -13.8901 
9.64818 13.9216 -9.65589 -13.9171 
9.64102 13.9487 -9.64876 -13.9442 
9.63385 13.9757 -9.64161 -13.9712 
9.62666 14.0027 -9.63445 -13.9982 
9.61945 14.0297 -9.62728 -14.0251 
9.61223 14.0566 -9.62009 -14.0521 
9.605 14.0836 -9.61289 -14.079 
9.59775 14.1105 -9.60567 -14.1059 
9.59049 14.1374 -9.59844 -14.1328 
9.58321 14.1643 -9.59119 -14.1597 
9.57592 14.1911 -9.58393 -14.1865 
9.56862 14.218 -9.57666 -14.2133 
9.5613 14.2448 -9.56937 -14.2401 
